polit,name,gender,birthyear,deathyear,liberal,ndp,cp,green,bq,prime_minister,minister,party_leader,senate_member,house_member,mayor,qid,url,page_name,page_lang,views_m1,views_m2,views_m3,views_m4,views_m5,views_m6,views_m7,views_m8,views_m9,views_m10,views_m11,views_m12
http://www.wikidata.org/entity/Q1508621,George William Howlan,male,1835,1901,1,0,0,0,0,0,0,0,1,0,0,Q1508621,https://en.wikipedia.org/wiki/George_William_Howlan,George_William_Howlan,en,108,93,71,90,92,76,73,86,92,83,83,77
http://www.wikidata.org/entity/Q1510936,Jean-Luc Pépin,male,1924,1995,1,0,0,0,0,0,0,0,0,1,0,Q1510936,https://en.wikipedia.org/wiki/Jean-Luc_P%C3%A9pin,Jean-Luc_P%C3%A9pin,en,266,238,277,261,268,217,211,255,274,283,266,187
http://www.wikidata.org/entity/Q15128647,Tony Ince,male,1958,NA,1,0,0,0,0,0,0,0,0,0,0,Q15128647,https://en.wikipedia.org/wiki/Tony_Ince,Tony_Ince,en,221,393,207,249,480,190,394,665,372,400,179,198
http://www.wikidata.org/entity/Q1524494,Gilles Lamontagne,male,1919,2016,1,0,0,0,0,0,0,0,0,1,1,Q1524494,https://en.wikipedia.org/wiki/Gilles_Lamontagne,Gilles_Lamontagne,en,332,279,305,345,292,288,289,308,318,376,326,256
http://www.wikidata.org/entity/Q15265053,Joyce Treen,female,NA,NA,1,0,0,0,0,0,0,0,0,0,0,Q15265053,https://en.wikipedia.org/wiki/Joyce_Treen,Joyce_Treen,en,83,82,83,145,112,103,247,229,104,84,66,81
http://www.wikidata.org/entity/Q15280716,Keith Irving,male,1958,NA,1,0,0,0,0,0,0,0,0,0,0,Q15280716,https://en.wikipedia.org/wiki/Keith_Irving,Keith_Irving,en,154,638,213,238,497,290,348,544,222,274,179,173
http://www.wikidata.org/entity/Q15280719,Tim Houston,male,1970,NA,0,0,1,0,0,0,0,0,0,0,0,Q15280719,https://en.wikipedia.org/wiki/Tim_Houston,Tim_Houston,en,797,2686,1243,880,1385,1380,5502,38715,9670,4750,4430,8127
http://www.wikidata.org/entity/Q15280721,Karla MacFarlane,female,1969,NA,0,0,1,0,0,0,0,0,0,0,0,Q15280721,https://en.wikipedia.org/wiki/Karla_MacFarlane,Karla_MacFarlane,en,185,303,210,221,504,206,446,1644,697,486,298,283
http://www.wikidata.org/entity/Q15284980,Kevin Murphy,male,1970,NA,1,0,0,0,0,0,0,0,0,0,0,Q15284980,https://en.wikipedia.org/wiki/Kevin_Murphy_(Canadian_politician),Kevin_Murphy_(Canadian_politician),en,215,206,207,211,433,173,298,565,309,154,149,241
http://www.wikidata.org/entity/Q15285276,Bill Horne,male,1948,NA,1,0,0,0,0,0,0,0,0,0,0,Q15285276,https://en.wikipedia.org/wiki/Bill_Horne,Bill_Horne,en,136,148,137,115,379,129,207,255,139,101,110,136
http://www.wikidata.org/entity/Q15285287,Pam Eyking,female,1962,NA,1,0,0,0,0,0,0,0,0,0,0,Q15285287,https://en.wikipedia.org/wiki/Pam_Eyking,Pam_Eyking,en,62,81,72,72,83,94,115,136,87,80,73,65
http://www.wikidata.org/entity/Q15285291,Iain Rankin,male,1983,NA,1,0,0,0,0,0,0,0,0,0,0,Q15285291,https://en.wikipedia.org/wiki/Iain_Rankin,Iain_Rankin,en,26,377,288,393,348,297,1954,21658,4221,2022,1836,1366
http://www.wikidata.org/entity/Q15285300,Patricia Arab,female,1978,NA,1,0,0,0,0,0,1,0,0,0,0,Q15285300,https://en.wikipedia.org/wiki/Patricia_Arab,Patricia_Arab,en,242,370,306,251,505,218,424,733,266,318,221,211
http://www.wikidata.org/entity/Q15285302,Joanne Bernard,female,1963,NA,1,0,0,0,0,0,0,0,0,0,0,Q15285302,https://en.wikipedia.org/wiki/Joanne_Bernard,Joanne_Bernard,en,159,180,116,153,138,356,252,375,143,145,107,232
http://www.wikidata.org/entity/Q1528846,Michael Starr,male,1910,2000,0,0,1,0,0,0,0,0,0,1,0,Q1528846,https://en.wikipedia.org/wiki/Michael_Starr_(politician),Michael_Starr_(politician),en,282,277,343,352,299,287,271,290,383,344,289,269
http://www.wikidata.org/entity/Q15294028,Gordon Wilson,male,NA,NA,1,0,0,0,0,0,0,0,0,0,0,Q15294028,https://en.wikipedia.org/wiki/Gordon_Wilson_(Nova_Scotia_politician),Gordon_Wilson_(Nova_Scotia_politician),en,134,187,149,153,388,143,229,258,189,94,92,87
http://www.wikidata.org/entity/Q15294031,Allan Rowe,male,1955,2015,1,0,0,0,0,0,0,0,0,0,0,Q15294031,https://en.wikipedia.org/wiki/Allan_Rowe,Allan_Rowe,en,116,237,118,118,141,113,226,178,118,129,126,125
http://www.wikidata.org/entity/Q15294033,Margaret Miller,female,NA,NA,1,0,0,0,0,0,1,0,0,0,0,Q15294033,https://en.wikipedia.org/wiki/Margaret_Miller_(politician),Margaret_Miller_(politician),en,225,189,179,167,772,262,247,250,117,110,98,153
http://www.wikidata.org/entity/Q15294034,Brendan Maguire,male,1975,NA,1,0,0,0,0,0,0,0,0,0,0,Q15294034,https://en.wikipedia.org/wiki/Brendan_Maguire,Brendan_Maguire,en,164,452,329,230,492,356,444,550,240,554,430,225
http://www.wikidata.org/entity/Q15294036,Suzanne Lohnes-Croft,female,1953,NA,1,0,0,0,0,0,0,0,0,0,0,Q15294036,https://en.wikipedia.org/wiki/Suzanne_Lohnes-Croft,Suzanne_Lohnes-Croft,en,128,212,164,138,626,199,285,444,174,114,115,288
http://www.wikidata.org/entity/Q15294039,Ben Jessome,male,1986,NA,1,0,0,0,0,0,0,0,0,0,0,Q15294039,https://en.wikipedia.org/wiki/Ben_Jessome,Ben_Jessome,en,142,452,245,169,428,179,377,509,225,273,154,172
http://www.wikidata.org/entity/Q15294042,Lloyd Hines,male,NA,NA,1,0,0,0,0,0,0,0,0,0,0,Q15294042,https://en.wikipedia.org/wiki/Lloyd_Hines,Lloyd_Hines,en,174,242,145,132,395,141,257,434,127,94,103,150
http://www.wikidata.org/entity/Q15294043,Stephen Gough,male,1953,NA,1,0,0,0,0,0,0,0,0,0,0,Q15294043,https://en.wikipedia.org/wiki/Stephen_Gough_(politician),Stephen_Gough_(politician),en,60,67,69,63,58,53,95,115,69,67,75,59
http://www.wikidata.org/entity/Q15294046,Terry Farrell,male,1960,NA,1,0,0,0,0,0,0,0,0,0,0,Q15294046,https://en.wikipedia.org/wiki/Terry_Farrell_(politician),Terry_Farrell_(politician),en,60,61,63,65,67,238,143,190,72,60,70,39
http://www.wikidata.org/entity/Q15294048,Randy Delorey,male,1947,NA,1,0,0,0,0,0,0,0,0,0,0,Q15294048,https://en.wikipedia.org/wiki/Randy_Delorey,Randy_Delorey,en,2441,3624,713,610,861,429,711,1371,427,270,203,216
