polit,name,gender,birthyear,deathyear,liberal,ndp,cp,green,bq,prime_minister,minister,party_leader,senate_member,house_member,mayor
http://www.wikidata.org/entity/Q1528846,Michael Starr,male,1910,2000,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15294028,Gordon Wilson,male,NA,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15294031,Allan Rowe,male,1955,2015,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15294033,Margaret Miller,female,NA,NA,1,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q15294034,Brendan Maguire,male,1975,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15294036,Suzanne Lohnes-Croft,female,1953,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15294039,Ben Jessome,male,1986,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15294042,Lloyd Hines,male,NA,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15294043,Stephen Gough,male,1953,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15294046,Terry Farrell,male,1960,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15294048,Randy Delorey,male,1947,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15296590,John Lohr,male,1961,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15296591,Larry Harrison,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15296595,Joachim Stroink,male,1972,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15296596,Labi Kousoulis,male,NA,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15296599,Mark Furey,male,NA,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15296602,Lena Diab,female,1953,NA,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15300563,Ted Falk,male,1960,NA,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1530725,Glen Clark,male,1957,NA,0,1,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1530835,Glen Murray,male,1957,NA,1,0,0,0,0,0,0,0,0,0,1
http://www.wikidata.org/entity/Q1531264,Richard Hatfield,male,1931,1991,0,0,1,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q15353056,René Brunelle,male,1920,2010,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1535766,Gérard Pelletier,male,1919,1997,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1538052,Gordon Lockhart Bennett,male,1912,2000,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1542244,Robert Duncan Wilmot,male,1809,1891,0,0,1,0,0,0,0,0,1,0,1
http://www.wikidata.org/entity/Q15424278,Charles Hubbard,male,1940,2020,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1543179,Grant MacEwan,male,1902,2000,1,0,0,0,0,0,0,0,0,0,1
http://www.wikidata.org/entity/Q15441886,Howard Waldemar Winkler,male,1891,1970,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15442935,Richard Alleyn,male,1835,1883,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15451728,Hugh McKay Sutherland,male,1843,1926,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15451909,Francis Wayland Glen,male,1836,1912,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15451910,James Atchison Skinner,male,1826,1894,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15452127,Moses H. Nickerson,male,1846,1943,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15453306,Étienne-Théodore Pâquet,male,1850,1916,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15456696,Victor Châteauvert,male,1841,1920,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15458623,Matthew Henry Cochrane,male,1823,1903,0,0,1,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q15467,William McLean Hamilton,male,1919,1989,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15485860,Jean-François Bertrand,male,1946,NA,0,0,0,0,1,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15485885,Ernest Frederick Armstrong,male,1878,1948,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15487581,Jean Côté,male,1867,1924,1,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q1548798,Herb Gray,male,1931,2014,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15489442,Frank Smith,male,1822,1901,0,0,1,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q15489840,Henry Smith,male,1812,1868,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15491785,John William Woolf,male,1869,1950,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15493362,Walter Baker,male,1930,1983,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15493562,Robert Ogle,male,1928,1998,0,1,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15496843,Malcolm Colin Cameron,male,1831,1898,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15497173,John Kenneth Gormley,male,1957,NA,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15499527,Ian Murray,male,1951,NA,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15501013,James Snow,male,1929,2008,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15502728,Janice MacKinnon,female,1947,NA,0,1,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15516040,Michael J. L. Kirby,male,1941,NA,1,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q15516400,Tony Ruprecht,male,1942,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15520844,John Roland Sweeney,male,1931,2001,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15525024,Ian Waddell,male,1942,2021,0,1,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1552865,Louis-Rodrigue Masson,male,1833,1903,0,0,1,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q1556889,Stockwell Day,male,1950,NA,0,0,1,0,0,0,1,0,0,1,0
http://www.wikidata.org/entity/Q1557479,Guy Favreau,male,1917,1967,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1559651,Paul Cosgrove,male,1934,NA,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15630791,Pierre Lemieux,male,1963,NA,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15658319,Jim McDonell,male,1954,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1566929,Rob Nicholson,male,1952,NA,0,0,1,0,0,0,1,0,0,1,0
http://www.wikidata.org/entity/Q15701586,Jagrup Brar,male,NA,NA,0,1,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15733801,Shannon Martin,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15733805,Doyle Piwniuk,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0
