polit,politLabel,positionLabel,genderLabel,birthyear,deathyear,partyLabel
http://www.wikidata.org/entity/Q2361540,Yvon Pinard,Federal Court of Canada,male,1940,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2379503,Jean-Paul Diamond,Member of the National Assembly of Quebec,male,1940,NA,Parti libéral du Québec
http://www.wikidata.org/entity/Q2386693,Hélène Alarie,member of the House of Commons of Canada,female,1941,NA,Bloc Québécois
http://www.wikidata.org/entity/Q2389302,Stella Ambler,member of the House of Commons of Canada,female,1966,NA,Conservative Party of Canada
http://www.wikidata.org/entity/Q2389302,Stella Ambler,Substitute member of the Parliamentary Assembly of the Council of Europe,female,1966,NA,Conservative Party of Canada
http://www.wikidata.org/entity/Q2395908,Marlene Jennings,member of the House of Commons of Canada,female,1951,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2398690,Betty Hinton,member of the House of Commons of Canada,female,1950,NA,Conservative Party of Canada
http://www.wikidata.org/entity/Q2402200,Lillian Dyck,member of the Senate of Canada,female,1945,NA,New Democratic Party
http://www.wikidata.org/entity/Q2402200,Lillian Dyck,member of the Senate of Canada,female,1945,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2402200,Lillian Dyck,member of the Senate of Canada,female,1945,NA,Senate Liberal Caucus
http://www.wikidata.org/entity/Q2403422,Carolyn Bennett,Minister of Crown-Indigenous Relations,female,1950,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2403422,Carolyn Bennett,Minister of State,female,1950,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2403422,Carolyn Bennett,member of the House of Commons of Canada,female,1950,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2403422,Carolyn Bennett,Minister of Mental Health and Addictions,female,1950,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2403422,Carolyn Bennett,Associate Minister of Health,female,1950,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2404127,Paul Robichaud,Department of Fisheries,male,1964,NA,Progressive Conservative Party of New Brunswick
http://www.wikidata.org/entity/Q2404127,Paul Robichaud,"Department of Agriculture, Aquaculture and Fisheries",male,1964,NA,Progressive Conservative Party of New Brunswick
http://www.wikidata.org/entity/Q2404127,Paul Robichaud,member of the Legislative Assembly of New Brunswick,male,1964,NA,Progressive Conservative Party of New Brunswick
http://www.wikidata.org/entity/Q2409849,Jim Harris,leader of the Green Party of Canada,male,1961,NA,Green Party of Canada
http://www.wikidata.org/entity/Q2414575,Lawrence Bergman,Member of the National Assembly of Quebec,male,1940,NA,Parti libéral du Québec
http://www.wikidata.org/entity/Q2415818,Lucie Charlebois,Member of the National Assembly of Quebec,female,1959,NA,Parti libéral du Québec
http://www.wikidata.org/entity/Q2421201,Brian Jean,Leader of the Opposition of Alberta,male,1963,NA,Conservative Party of Canada
http://www.wikidata.org/entity/Q2421201,Brian Jean,Leader of the Opposition of Alberta,male,1963,NA,Wildrose Party
http://www.wikidata.org/entity/Q2421201,Brian Jean,Leader of the Opposition of Alberta,male,1963,NA,United Conservative Party
http://www.wikidata.org/entity/Q2421201,Brian Jean,member of Alberta Legislative Assembly,male,1963,NA,Conservative Party of Canada
http://www.wikidata.org/entity/Q2421201,Brian Jean,member of Alberta Legislative Assembly,male,1963,NA,Wildrose Party
http://www.wikidata.org/entity/Q2421201,Brian Jean,member of Alberta Legislative Assembly,male,1963,NA,United Conservative Party
http://www.wikidata.org/entity/Q2421201,Brian Jean,member of the House of Commons of Canada,male,1963,NA,Conservative Party of Canada
http://www.wikidata.org/entity/Q2421201,Brian Jean,member of the House of Commons of Canada,male,1963,NA,Wildrose Party
http://www.wikidata.org/entity/Q2421201,Brian Jean,member of the House of Commons of Canada,male,1963,NA,United Conservative Party
http://www.wikidata.org/entity/Q2426822,Tom Rideout,Premier of Newfoundland and Labrador,male,1948,NA,Progressive Conservative Party of Newfoundland and Labrador
http://www.wikidata.org/entity/Q2426822,Tom Rideout,member of the Newfoundland and Labrador House of Assembly,male,1948,NA,Progressive Conservative Party of Newfoundland and Labrador
http://www.wikidata.org/entity/Q2474314,Ujjal Dosanjh,Minister of Health,male,1947,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q3184924,Joseph Facal,Member of the National Assembly of Quebec,male,1961,NA,Parti Québécois
http://www.wikidata.org/entity/Q3184924,Joseph Facal,"Ministry of Immigration, Francisation and Integration",male,1961,NA,Parti Québécois
http://www.wikidata.org/entity/Q3184393,Joseph-Octave Samson,Member of the National Assembly of Quebec,male,1862,1945,Parti libéral du Québec
http://www.wikidata.org/entity/Q3184393,Joseph-Octave Samson,Mayor of Quebec City,male,1862,1945,Parti libéral du Québec
http://www.wikidata.org/entity/Q3184394,Joseph-Octave Villeneuve,Mayor of Montreal,male,1836,1901,Conservative Party of Canada
http://www.wikidata.org/entity/Q3184394,Joseph-Octave Villeneuve,Member of the National Assembly of Quebec,male,1836,1901,Conservative Party of Canada
http://www.wikidata.org/entity/Q3184394,Joseph-Octave Villeneuve,member of the Senate of Canada,male,1836,1901,Conservative Party of Canada
http://www.wikidata.org/entity/Q3184405,Joseph-Philias Morin,Member of the National Assembly of Quebec,male,1899,1945,Union Nationale
http://www.wikidata.org/entity/Q3184416,Joseph Pierre Turcotte,member of the House of Commons of Canada,male,1857,1939,Liberal Party of Canada
http://www.wikidata.org/entity/Q3184425,Joseph-Séraphin-Aimé Ashby,Member of the National Assembly of Quebec,male,1876,1962,Parti libéral du Québec
http://www.wikidata.org/entity/Q3184431,Joseph-Théodule Rhéaume,Member of the National Assembly of Quebec,male,1874,1954,Liberal Party of Canada
http://www.wikidata.org/entity/Q3184431,Joseph-Théodule Rhéaume,Member of the National Assembly of Quebec,male,1874,1954,Parti libéral du Québec
http://www.wikidata.org/entity/Q3184431,Joseph-Théodule Rhéaume,member of the House of Commons of Canada,male,1874,1954,Liberal Party of Canada
http://www.wikidata.org/entity/Q3184431,Joseph-Théodule Rhéaume,member of the House of Commons of Canada,male,1874,1954,Parti libéral du Québec
http://www.wikidata.org/entity/Q3184437,Joseph-Édouard Caron,Member of the National Assembly of Quebec,male,1866,1930,Parti libéral du Québec
http://www.wikidata.org/entity/Q3184439,Joseph-Édouard Perrault,Member of the National Assembly of Quebec,male,1874,1948,Parti libéral du Québec
http://www.wikidata.org/entity/Q3184439,Joseph-Édouard Perrault,Bâtonnier du Québec,male,1874,1948,Parti libéral du Québec
http://www.wikidata.org/entity/Q3184439,Joseph-Édouard Perrault,Bâtonnier d'Arthabaska,male,1874,1948,Parti libéral du Québec
