name,party,page_views
Charles William Bell,CPC,276
Charles William Jarvis,CPC,184
Charles Willoughby,CPC,208
Charles Wilson,CPC,144
Charles Wilson Cross,Liberal,389
Charles Winnans Cox,Liberal,115
Charles Witney,CPC,126
Charles Yardley Weaver,CPC,155
Charlie Parker,NDP,472
Charlie Penson,CPC,339
Charlie Power,CPC,434
Charlie Tatham,Liberal,478
Charlie Thomas,CPC,242
Chaviva Hošek,Liberal,1050
Chesley William Carter,Liberal,315
William Joseph Poupore,CPC,132
Chester McLure,CPC,95
Ray Hnatyshyn,CPC,29612
Monique Bégin,Liberal,2606
Richard Hunt,Liberal,81
Chin Lee,Liberal,1040
Frank Moores,CPC,3508
Chris Alexander,CPC,22386
Chris Axworthy,NDP,954
Chris Hodgson,CPC,1441
Chris Speyer,CPC,298
Chris Stockwell,CPC,1410
Chris Ward,Liberal,263
Chris d'Entremont,CPC,6070
Christel Haeck,NDP,201
Christian Kloepfer,CPC,236
Christian Kohler,Liberal,181
Robert Mackay,Liberal,469
Christie Mjolsness,NDP,227
Christine Elliott,CPC,80147
Christine Hart,Liberal,526
Christine Melnick,NDP,564
Christine Stewart,Liberal,2019
Christopher Bentley,Liberal,1749
Christopher Finlay Fraser,Liberal,126
Christopher P. Chisholm,Liberal,143
Christopher William Bunting,CPC,297
Chuck Cook,CPC,397
Chuck Porter,CPC,1426
Monique Vézina,CPC,340
Cid Samson,NDP,262
Cindy Ady,CPC,698
Cindy Forster,NDP,597
Cindy Nicholas,Liberal,1474
Claire Trevena,NDP,1197
Clare Mapledoram,CPC,89
Clarence Copithorne,CPC,252
Clarence George Willis,NDP,120
Clarence Jameson,CPC,58
Clarence Milligan,CPC,91
Clarence Owen Cooper,CPC,162
Clarence Primrose,Liberal,70
Clarence Stork,NDP,76
Clark Murray,Liberal,154
Clarke Tivy Rollins,CPC,222
Claude Bennett,CPC,507
Joseph Howe,Liberal,13846
Claudette Boyer,Liberal,499
Claude Castonguay,CPC,1648
Claudio Polsinelli,Liberal,270
Clay Serby,NDP,349
Clayton Hodgson,CPC,106
Clayton Lyons,CPC,96
Clement O'Leary,CPC,126
Cliff Breitkreuz,CPC,588
Cliff Cullen,CPC,4593
Cliff Downey,CPC,116
Cliff Graydon,CPC,472
Cliff McIsaac,Liberal,154
Cliff Pilkey,NDP,201
Clifford Case,CPC,63
Clifford Doan,CPC,71
Clifford Smallwood,CPC,106
Clint Dunford,CPC,1892
Clinton Oliver White,NDP,180
Clive Doucet,Green,2600
Honoré Mercier,Liberal,4922
Clément Robillard,Liberal,59
Libby Davies,NDP,6267
Mark Warawa,CPC,3593
Colin Cameron,NDP,432
Colin Campbell,Liberal,350
Colin D. Gibson,Liberal,143
Colin Emerson Bennett,Liberal,124
Colin Francis McIsaac,Liberal,175
Colin Genge,Liberal,162
Colin H. Campbell,Liberal,174
Colin Isaacs,NDP,175
Colin MacDougall,Liberal,171
Colin Maxwell,CPC,258
Colin Stewart Cameron,CPC,99
Colin Thatcher,CPC,23002
Colin W. G. Gibson,Liberal,424
Coline Campbell,Liberal,400
Colleen Soetaert,Liberal,193
Carol Skelton,CPC,889
Tina Keeper,Liberal,20962
Gérald Beaudoin,CPC,322
Connie Osterman,CPC,395
Conrad Weidenhammer,CPC,63
Consiglio Di Nino,CPC,879
Thomas Healy,Liberal,139
Cooke Davies,CPC,284
Gordon O'Connor,CPC,3879
Maxime Bernier,CPC,392909
Cora Taylor Casselman,Liberal,388
Corelli Collard Field,Liberal,86
Cornelius Forman Hatfield,Liberal,82
Cornelius Hiebert,CPC,168
Jean-Charles Chapais,CPC,1823
Costas Menegakis,CPC,6137
Lawrence Cannon,CPC,5395
Chris Charlton,NDP,1431
Charles Bélec,CPC,107
Craig Cheffins,Liberal,335
Craig Scott,NDP,4308
Craig Stewart,CPC,254
Crawford Douglas,Liberal,211
John William Ritchie,CPC,1364
Crowell Willson,CPC,194
James Cockburn,CPC,2020
Pierre-Évariste Leblanc,CPC,274
Cynthia Tucker,Liberal,131
Adam Beck,CPC,9613
Cyril Archibald,Liberal,136
Cyril Kennedy,CPC,205
Cyril Keeper,NDP,429
Cyril Lloyd Francis,Liberal,967
Cyril Symes,NDP,185
Cyrille Vaillancourt,Liberal,171
Cyrus Macmillan,Liberal,373
Célestin Bergevin,CPC,37
Césaire Thérien,CPC,57
D'Arcy Argue Counsell Martin,CPC,228
D'Arcy Boulton,CPC,299
D'Arcy Plunkett,CPC,95
Dale Eftoda,Liberal,233
Dale Flavel,NDP,91
Dale Johnston,CPC,400
Dalia Wood,Liberal,198
Dallas Schmidt,CPC,704
Dalton Bales,CPC,295
Dalton McCarthy,CPC,1859
Damase Parizeau,CPC,66
Damase Racine,Liberal,81
Dan Backs,Liberal,210
Dan Harris,NDP,1877
Dan Heap,NDP,1250
Dan McIvor,Liberal,230
Dan Newman,CPC,653
Dan Vandal,Liberal,11333
Dan Waters,NDP,403
Dana Porter,CPC,1522
Daniel Alexander Cameron,Liberal,212
Daniel Black Chisholm,Liberal,274
Daniel Burt,Liberal,77
Daniel Charles Moore,Liberal,99
Daniel Davies,CPC,69
Daniel Derbyshire,Liberal,124
Daniel Duncan McKenzie,Liberal,1487
Daniel Edward Riley,Liberal,293
Daniel Galbraith,Liberal,109
Daniel H. MacKinnon,Liberal,50
Daniel Hilliard,Liberal,138
Daniel Hollands,CPC,78
Daniel Lang,Liberal,271
Daniel Luton,CPC,62
Daniel MacDonald,Liberal,NA
Daniel McCraney,Liberal,96
Daniel McLachlin,Liberal,183
Daniel McNeil,Liberal,249
Daniel Morkeberg,Liberal,45
Daniel Webster Warner,Liberal,88
Daniel Zederayko Daniels,NDP,640
Danielle Smith,CPC,39284
Danny Dalla-Longa,Liberal,308
Danny Graham,Liberal,704
Danny Joe,NDP,157
André Ouellet,Liberal,3778
Darby Bergin,CPC,414
Darcy McKeough,CPC,1297
Darrel Stinson,CPC,3036
Darshan Kang,Liberal,5624
Daryl Reid,NDP,380
Dave Broda,CPC,456
Dave Chomiak,NDP,614
Dave Hancock,CPC,13704
Dave Levac,Liberal,1809
Dave Neumann,Liberal,530
Dave Quest,CPC,1794
Dave Rodney,CPC,2853
Dave Wilson,NDP,672
Dave Worthy,CPC,152
David A. Hearn,Liberal,100
David Alexander Gordon,Liberal,264
David Anderson,Liberal,3247
David Arthur Lafortune,Liberal,119
David Bjornson,CPC,316
David Blain,Liberal,360
David Boushy,CPC,411
David Bradley Neely,Liberal,80
David Braley,CPC,8474
David C. Landers,Liberal,89
David Caplan,Liberal,2843
David Chatters,CPC,548
David Chernushenko,Green,1894
David Coutts,CPC,335
David Creighton,CPC,287
David Croll,Liberal,1173
David Daubney,CPC,257
David Davidson Hay,Liberal,87
David Dorward,CPC,1002
David Eby,NDP,9724
David Edward Price,CPC,341
David Eggen,NDP,2970
David Fleet,Liberal,483
David Forbes,NDP,837
David Ford Jones,CPC,270
David Glass,CPC,242
David Groos,Liberal,333
David Hadley Lange,NDP,190
David Henderson,CPC,244
David Iftody,Liberal,1020
David J. Carter,CPC,571
David James Hartigan,Liberal,115
David James McFadden,CPC,579
David James Walker,CPC,355
David Jamieson,CPC,229
David John Russell,CPC,450
David Johnson,CPC,2193
David M. Dickie,Liberal,91
David MacKeen,CPC,212
David Manly Miner,NDP,75
David Marshall,CPC,205
David McKenzie Wright,CPC,144
David Mills,Liberal,538
David Murdoch McPherson,Liberal,160
David Nantes,CPC,237
David Orazietti,Liberal,1052
David Orlikow,NDP,1617
David Porter,Liberal,76
David R. Cooke,Liberal,377
David Ramsay,NDP,744
David Reesor,Liberal,382
David Reville,NDP,784
David Robertson,Liberal,257
David Rotenberg,CPC,923
David Sloan,NDP,591
David Smith,Liberal,1321
David Spence,CPC,481
David Steuart,Liberal,290
David Stirton,Liberal,130
David Stupich,NDP,922
David Thomas King,CPC,711
David Thompson,Liberal,254
David Tisdale,CPC,320
David Turnbull,CPC,1721
David Vaughan Pugh,CPC,160
David Walker,Liberal,517
David Wardrope Wallace,Liberal,83
David Warnock,Liberal,498
David Weatherhead,Liberal,203
David Wells,CPC,1722
David Wesley Bole,Liberal,132
David Wilks,CPC,936
David William Gordon,Liberal,169
David William Smith,Liberal,181
David William Warner,NDP,523
David Wilson,Liberal,510
David Wilson Beaubier,CPC,100
David Winninger,NDP,244
David Wright Allison,Liberal,143
David Xiao,CPC,778
David Young,CPC,572
David Zimmer,Liberal,1999
Davie Fulton,CPC,1592
Charles Drury,Liberal,1530
George McIlraith,Liberal,655
Dean Whiteway,CPC,364
Deane Gundlock,CPC,169
Deanne Crothers,NDP,200
Paul Joseph James Martin,Liberal,11220
Deb Higgins,NDP,497
Deb Matthews,Liberal,4273
Debby Carlson,Liberal,465
Delino Dexter Calvin,CPC,374
Delpha Sauvé,CPC,133
Stanley Haidasz,Liberal,449
Denis Ducharme,CPC,388
Denis Herard,CPC,133
Roland Michener,CPC,15950
Denis Éthier,Liberal,176
Denise Batters,CPC,15947
Denise Peterson-Rafuse,NDP,739
Dennis Anderson,CPC,368
Dennis Cochrane,CPC,726
Dennis Furlong,CPC,295
Dennis George Banda,NDP,94
Dennis Gruending,NDP,339
Dennis Marvin Ham,CPC,295
Dennis Mills,Liberal,1823
Dennis Murphy,CPC,150
Dennis Patterson,CPC,2859
Dennis Schneider,Liberal,536
Dennis Smook,CPC,353
Dennis Timbrell,CPC,1505
Denton Massey,CPC,571
Derek Blackburn,NDP,755
Derek Fletcher,NDP,332
Derek Fox,NDP,242
Thérèse Casgrain,NDP,8704
Derek Wells,Liberal,1472
Gaston Gourde,BQ,147
Deron Bilous,NDP,2385
Derrek Konrad,CPC,180
Derrick Dalley,CPC,452
Derrick Kimball,CPC,1005
Derwyn Shea,CPC,385
Desmond Code,CPC,310
Francine Lalonde,BQ,703
Diana McQueen,CPC,1454
Diana Whalen,Liberal,1734
Diane Bellemare,CPC,1478
Diane Deans,Liberal,2730
Diane McGifford,NDP,252
Diane Stratas,CPC,487
Diane Thorne,NDP,429
Dianne Brushett,Liberal,553
Dianne Cunningham,CPC,1097
Dianne Mirosh,CPC,194
Dianne Poole,Liberal,350
Dick Bell,CPC,711
Dick Collver,CPC,495
Dick Fowler,CPC,332
Dick Proctor,NDP,445
Dick Treleaven,CPC,216
Dilman Kinsey Erb,Liberal,176
Dipika Damerla,Liberal,4058
Cairine Wilson,Liberal,5012
Djaouida Sellah,NDP,2289
Dmytro Lazorko,NDP,56
Dominic Agostino,Liberal,2793
Dominique-Amable Coutlée,CPC,225
Don Blenkarn,CPC,322
Don Cousens,CPC,2124
Don Downe,Liberal,458
Don Knight,Liberal,194
Don L. Taylor,CPC,102
Don MacDonald,Liberal,269
Don McCrimmon,CPC,157
Don Meredith,CPC,2836
Don Plett,CPC,15065
Don Roberts,Liberal,234
Don Scott,CPC,2558
Don Tannas,CPC,223
Don Toth,CPC,308
Donald A. McLean,Liberal,76
Donald Abel,NDP,308
Donald Buchanan McLeod,Liberal,65
Donald Buchanan Blue,Liberal,93
Donald Carrick,Liberal,376
Donald Chisholm,CPC,222
Donald David Boyd,Liberal,61
Donald Deacon,Liberal,434
Donald Ferguson Brown,Liberal,136
Donald Fleming,CPC,1217
Donald Greenfield MacDonell,Liberal,63
Donald Guthrie,Liberal,174
Donald H. Sparrow,CPC,417
Donald Hansen,CPC,277
Donald Hogarth,CPC,419
Donald James Cowan,CPC,98
Donald Kinney,CPC,595
Donald Leonard Faris,NDP,154
Donald MacInnes,Liberal,532
Donald MacInnis,CPC,359
Donald MacKeen Smith,CPC,102
Donald MacLennan,Liberal,330
Donald Mackenzie Cameron,Liberal,173
Donald Maclean,CPC,111
Donald Macmaster,CPC,219
Donald Matheson Sutherland,CPC,751
Donald McAlpine,Liberal,78
Donald McDonald,Liberal,170
Donald McNiven,Liberal,83
Donald Mighton McPherson,Liberal,307
Donald Morrow,CPC,204
Donald Niel Cameron,CPC,127
Donald Oliver,CPC,9727
Donald P. McInnes,CPC,240
Donald Ravis,CPC,114
Donald Robertson,CPC,82
Donald Sharpe,CPC,64
Donald Sinclair,Liberal,118
Donald Smith,Liberal,210
Donald Sutherland,CPC,349
Donald Taylor,CPC,330
Donald W. Munro,CPC,211
Donald Watson Davis,CPC,137
Donald William Cody,NDP,1536
Donald Wood,Liberal,290
Donna Barnett,Liberal,549
Donna Cansfield,Liberal,878
Donna Kennedy-Glans,CPC,1876
Doreen Hamilton,NDP,410
Doris Margaret Anderson,Liberal,386
Dorothy Dobbie,CPC,950
Brian Masse,NDP,7347
Doug Black,CPC,4043
Doug Carrothers,Liberal,91
Doug Cherry,CPC,351
June Rowlands,Liberal,5965
Doug Donaldson,NDP,1364
Doug Elniski,CPC,221
Doug Ford,CPC,452117
Doug Ford Sr.,CPC,44398
Doug Galt,CPC,249
Doug Griffiths,CPC,1845
Doug Holyday,CPC,3986
Doug Horner,CPC,11329
Doug Lewis,CPC,1146
Doug Main,CPC,630
Doug Martindale,NDP,311
Doug Moffatt,NDP,202
Doug Phillips,CPC,988
Doug Reycraft,Liberal,189
Doug Rollins,CPC,616
Doug Routley,NDP,975
Doug Rowland,NDP,304
Douglas Anguish,NDP,184
Douglas Benjamin Woodworth,CPC,187
Douglas Caston,CPC,79
Douglas Cunnington,CPC,156
Douglas Everett,Liberal,549
Douglas Fee,CPC,119
Douglas Francis McArthur,NDP,1219
Douglas Glenn Fisher,Liberal,211
Douglas Graham Taylor,CPC,232
Douglas Hogarth,Liberal,177
Douglas Jung,CPC,5034
Douglas Kennedy,CPC,517
Douglas MacDonald,NDP,266
Douglas Morton,CPC,510
Douglas Neil,CPC,162
Douglas Peters,Liberal,55413
Douglas Roche,CPC,1390
Douglas Ross,CPC,240
Douglas Wiseman,CPC,260
Drew Caldwell,NDP,557
Drew Hutton,CPC,206
Drummond White,NDP,250
Duane Weiman,CPC,204
Duco Van Binsbergen,Liberal,100
Dugald Donaghy,Liberal,54
Dugald McColl,CPC,80
Dugald Stewart,CPC,110
Duncan Alexander McNaughton,CPC,93
Duncan Alexander Stewart,Liberal,76
Duncan Beattie,CPC,268
Duncan Cameron Fraser,Liberal,500
Duncan Campbell Ross,Liberal,119
Duncan Finlayson,Liberal,82
Duncan Fletcher McCuaig,Liberal,161
Gordon Blair,Liberal,314
Duncan Graham Ross,Liberal,119
Duncan James Sinclair,Liberal,76
Duncan John McIntyre,Liberal,177
Duncan Kenneth MacTavish,Liberal,252
Duncan Macmillan,CPC,66
Duncan Marshall,Liberal,314
Duncan McArthur,Liberal,215
Duncan McDonald,Liberal,138
Duncan McRae,CPC,67
Duncan Orestes Alguire,CPC,77
Duncan Paul Munro,Liberal,157
Duncan Ross,Liberal,192
Duncan Selby Hutcheon,CPC,64
Duncan Sinclair,CPC,62
Dwight Ball,Liberal,11367
E. D. Smith,CPC,3085
John Jones Ross,CPC,1412
Earl Catherwood,CPC,125
Earl Desmond,CPC,78
Earl Hastings,Liberal,158
Earl Lawson,CPC,45
Earl W. Rowe,CPC,214
Earl Wallace Urquhart,Liberal,179
Earle Drope,CPC,54
Earle Rafuse,Liberal,227
Ebenezer Tilton Moseley,CPC,100
Ebenezer Vining Bodwell,Liberal,313
William Mackenzie McLeod,Liberal,162
Eccles James Gott,CPC,66
Ed Byrne,CPC,1099
Ed Doyle,CPC,178
Ed Ewasiuk,NDP,215
Ed Fulton,Liberal,265
Ed Gibbons,Liberal,348
Ed Harper,CPC,726
Ed Havrot,CPC,239
Ed Kinley,Liberal,266
Ed Oman,CPC,109
Ed Philip,NDP,476
Ed Ziemba,NDP,265
Eddie Orrell,CPC,2798
Eddie Sargent,Liberal,504
Edgar-Rodolphe-Eugène Chevrier,Liberal,136
Edgar Crow Baker,CPC,371
Edgar Douglas Richmond Bissett,Liberal,222
Edgar Ernest Kaeding,NDP,77
Edgar Sydney Little,Liberal,193
Edmond Baird Ryckman,CPC,148
Edmond George Odette,Liberal,367
Edmond Lapierre,Liberal,119
Edmond Proulx,Liberal,118
Edmund Boyd Osler,Liberal,430
Edmund Boyd Osler,CPC,2213
Edmund Burke Wood,Liberal,239
Edmund James Bristol,CPC,182
Edmund John Glyn Hooper,CPC,151
Edmund L. Morris,CPC,510
Edmund Power Flynn,Liberal,314
Edna Anderson,CPC,451
Edward Alfred Little,CPC,177
Edward Allan Miller,NDP,168
Edward Applewhaite,Liberal,152
Edward Armour Peck,CPC,104
Edward Arthur Lancaster,CPC,212
"Edward Arunah Dunlop, Jr.",CPC,146
Edward Arunah Dunlop,CPC,178
Edward Blackadder,Liberal,166
Edward Borron,Liberal,114
Edward Charles Bowers,Liberal,84
Edward Cochrane,CPC,102
Edward Cyril Malone,Liberal,431
Edward Guss Porter,CPC,134
Edward Hackett,Liberal,187
Edward Henry Horsey,Liberal,116
Edward James McMurray,Liberal,135
Edward James Young,Liberal,151
Edward Joseph Cragg,Liberal,107
Edward Joseph Thériault,Liberal,90
Edward Kenny,CPC,451
Edward Kidd,CPC,261
Edward L. Cash,Liberal,92
Edward Lavin Girroir,CPC,162
Edward Lockyer,CPC,193
Edward M. Lawson,Liberal,336
Edward Matthew Farrell,Liberal,88
Edward Michener,CPC,449
Edward Ming,Liberal,131
Edward Mortimer Macdonald,Liberal,255
Edward Murphy,Liberal,144
Edward Nasserden,CPC,142
Edward Norman Lewis,CPC,100
Edward Prudden,Liberal,96
Edward Robinson,Liberal,40
Edward Twohig,CPC,203
Edward Walter Nesbitt,Liberal,144
Edward William James Owens,CPC,111
Edwin Clarendon Carpenter,Liberal,71
Edwin Cyrus Graves,CPC,71
Edwin Leather,CPC,1022
Edwin Randolph Oakes,Liberal,93
Edwin Tchorzewski,NDP,281
Edwin Tolton,CPC,40
Edwin William Brunsden,CPC,92
Eileen O'Connell,NDP,616
Eileen Rossiter,CPC,112
Eiling Kramer,NDP,244
Elaine McCoy,CPC,7196
Elaine Ziemba,NDP,319
Eldon Lautermilch,NDP,228
Eldon Woolliams,CPC,332
Eleanor Norrie,Liberal,225
Jacques Trudel,Liberal,137
Elgin Albert Munro,Liberal,92
Eli Nesdoly,NDP,103
Eliakim Tupper,Liberal,63
Elie Martel,NDP,1002
Elihu Davis,Liberal,183
Elijah Edmund Spencer,CPC,67
Elijah Leonard,Liberal,337
Elinor Caplan,Liberal,2213
Elisha Jessop,CPC,82
Elizabeth Witmer,CPC,3696
Ellen MacKinnon,NDP,161
Elliott Hardey,CPC,107
Ellis Corman,Liberal,122
Ellwood Madill,CPC,195
Elmer Borstad,CPC,99
Elmer Buchanan,NDP,280
Elmer Forbes,CPC,69
Elmer MacKay,CPC,4944
Elmer Sopha,Liberal,485
Elmore Philpott,Liberal,366
Eloise Jones,CPC,234
Elston Cardiff,CPC,202
Elwin Hermanson,CPC,1363
Elwood Cowley,NDP,183
Elzéar-Henri Juchereau Duchesnay,CPC,176
Emmett McCusker,Liberal,169
Ephraim Bell Muttart,CPC,104
Ephraim George Sills,Liberal,37
Erhart Regier,NDP,249
Eric Berntson,CPC,591
Eric Cline,NDP,1596
Eric Cook,Liberal,327
Eric Cunningham,Liberal,342
Eric Ferguson,CPC,322
Eric Foster,Liberal,1472
Eric Harrington,CPC,102
Eric Hoskins,Liberal,5974
Eric Musgreave,CPC,103
Eric Robinson,NDP,1261
"Eric Stefanson, Sr.",CPC,303
Eric Teed,CPC,409
Eric Upshall,NDP,169
Eric William Blake Cross,Liberal,120
Eric Winkler,CPC,411
Erin Selby,NDP,1813
Erna Braun,NDP,343
George Hees,CPC,3220
Ernest Campbell,CPC,136
Ernest G. Cottreau,Liberal,74
Ernest James Broome,CPC,98
Ernest Perley,Liberal,77
Ernest Watkins,CPC,236
Ernest William Robinson,Liberal,143
Ernie Epp,NDP,394
Ernie Hardeman,CPC,3663
Ernie Isley,CPC,371
Ernie Jamison,CPC,103
Ernie Parsons,Liberal,957
Joseph Reid,CPC,262
Ervin Pringle,Liberal,86
Ethel Cochrane,CPC,266
Edward Palmer,CPC,2603
Eugene Forsey,Liberal,2240
Eugène Bellemare,Liberal,440
Eugène Chinic,CPC,66
Eugène Rhéaume,CPC,368
Hugh John Macdonald,CPC,12872
Evan Berger,CPC,402
Evan Carlson,NDP,275
Evan Eugene Fraser,CPC,78
Evan John Price,CPC,33
Evans Knowles,CPC,46
Eve Adams,CPC,10189
Evelyn Bacon,CPC,128
Evelyn Edwards,Liberal,16869
Evelyn Gigantes,NDP,1015
Everett Irvine Wood,NDP,171
Everett McDonald,CPC,377
Ewan McPherson,Liberal,245
Louis Auguste Carrier,Liberal,115
Falkner Cornwall Stewart,CPC,102
Felix Holtmann,CPC,388
Felix Patrick Quinn,CPC,118
Felton Legere,CPC,114
Fenwick Lionel Kelly,Liberal,44
Fergus Beck Brownridge,Liberal,72
Fernand Guindon,CPC,221
Fernand Roberge,CPC,365
Fernand Viau,Liberal,70
Fin Donnelly,NDP,3989
Joseph-Rodolphe Ouimet,Liberal,63
Findlay George MacDiarmid,CPC,122
Finlay MacDonald,CPC,117
Finlay MacDonald,CPC,282
Finlay McNaughton Young,Liberal,68
Firman McClure,Liberal,63
Fleming Blanchard McCurdy,CPC,153
Fletcher Bath Wade,Liberal,116
Flor Marcelino,NDP,2886
Florence Bird,Liberal,765
Floyd Laughren,NDP,1284
Fonse Faour,NDP,906
Forbes Godfrey,CPC,135
France Dionne,Liberal,151
Francene Cosman,Liberal,346
Frances Lankin,NDP,1856
Francis A. Walker,Liberal,106
Francis Carmichael Bruce,CPC,109
Belinda Stronach,Liberal,54872
Francis Cochrane,CPC,557
Francis Edwin Kilvert,CPC,102
Francis Fairey,Liberal,808
Francis Gordon Forbes,Liberal,143
Francis H. Burton,CPC,59
Francis Helme,Liberal,187
Francis Henry Keefer,CPC,145
Francis Henry Shepherd,CPC,130
Francis Hurdon,CPC,99
Francis James Roscoe,Liberal,249
Francis Jones,CPC,114
Francis LeBlanc,Liberal,485
Francis Nicholson Darke,Liberal,975
Francis Ramsey Lalor,CPC,126
Francis Robert Latchford,Liberal,212
Francis Theodore Frost,Liberal,295
Francis William Hall,CPC,33
Frank Boyes,CPC,67
Frank Bruseker,Liberal,245
Frank Charles McGee,CPC,786
Frank Chipman,CPC,225
Frank Corbett Welch,CPC,83
Frank Corbett,NDP,492
Stephen Lecce,CPC,104592
Faisal Hassan,NDP,4777
Frank Drea,CPC,369
Frank Enfield,Liberal,162
Frank Falconer,Liberal,86
Frank Fane,CPC,136
Frank Faubert,Liberal,640
Frank Fletcher Hamilton,CPC,444
Frank Follwell,Liberal,56
Amanda Simard,CPC,9007
Frank Howard,NDP,473
Frank Killam,Liberal,161
Frank Klees,CPC,1809
Frank Lennard,CPC,185
Frank Maine,Liberal,251
Frank Mazzilli,CPC,236
Frank Meakes,NDP,122
Frank Miclash,Liberal,185
"Frank Oberle, Sr.",CPC,746
Frank Oliver,Liberal,7162
Frank Philbrook,Liberal,206
Frank Pierpoint Appleby,CPC,481
Frank Rickard,Liberal,159
Frank Roland MacMillan,CPC,130
Frank Sheehan,CPC,1280
Frank Stanfield,CPC,799
Frank Stewart Scott,CPC,140
Frank Thomas Shaver,CPC,129
Frank Thomas Stanfield,CPC,362
Franklin Harford Spence,CPC,77
Franklin Metcalfe Carpenter,CPC,113
Franklin Smoke,CPC,72
Franklin White Turnbull,CPC,104
François-Eugène-Alfred Évanturel,Liberal,104
François-Xavier Archambault,CPC,132
François-Xavier Dulac,CPC,116
François A. Pouliot,CPC,145
François Lapointe,NDP,1025
Fred Berger,NDP,212
Fred C. Stinson,CPC,780
Fred Davis,CPC,115
Fred Dickson,CPC,340
Fred Horne,CPC,691
Fred Larson,Liberal,151
Fred Lindsay,CPC,253
Fred McBrien,CPC,358
Fred Mifflin,Liberal,685
Fred Peacock,CPC,143
Fred Sanderson,Liberal,75
Fred Stenson,CPC,99
Fred Stewart,CPC,208
Fred W. Archer,CPC,49
Fred Wellington Bowen,CPC,108
Fred Wilson,NDP,408
Fred Young,NDP,253
Frederic McGrand,Liberal,126
Frederic Thomas Nicholls,CPC,365
Frederick Andrew Laurence,Liberal,153
Frederick Arthur Dewhurst,NDP,115
Frederick Cass,CPC,280
Frederick Charles Denison,CPC,336
Frederick Clarke Tate,CPC,47
Frederick Clayton Casselman,Liberal,146
Frederick Cronyn Betts,CPC,119
Frederick Dennis Munroe,CPC,130
Frederick Deryl Bradley,CPC,323
Frederick Donald MacKenzie,Liberal,178
Frederick Forsyth Pardee,Liberal,288
Frederick Gordon Bradley,Liberal,489
Frederick Hoblitzell,Liberal,112
Frederick James Skinner,CPC,115
Frederick Jamieson,CPC,63
Frederick John French,CPC,52
Frederick John Thompson,NDP,253
Frederick Kidd,CPC,114
Frederick King,CPC,NA
Frederick Laurence Schaffner,CPC,52
Frederick Lundy,CPC,405
Frederick Luther Fowke,Liberal,134
Frederick M. Pearson,Liberal,147
Frederick Murray Blois,CPC,168
Frederick P. Thompson,Liberal,117
Frederick Raymond Parnell,CPC,90
Frederick Robertson,Liberal,140
Frederick Thomas Armstrong,Liberal,74
Frederick Thomas Smye,CPC,118
Frederick Wellington Elliott,Liberal,101
Frederick William Borden,Liberal,1765
Frederick William Cumberland,CPC,794
Frederick William Gershaw,Liberal,222
Frederick William Rowe,Liberal,521
Frederick William Strange,CPC,200
Frederick Wright,CPC,NA
Claude Landry,CPC,155
Sara Singh,NDP,18149
Stan Cho,CPC,5312
Merrilee Fullerton,CPC,26834
Amy Fee,CPC,2731
Peter Bethlenfalvy,CPC,19559
Félix Carbray,CPC,32
Félix Routhier,CPC,93
Gabriel Flewelling,Liberal,145
Gaetan Serré,Liberal,468
Gar Knutson,Liberal,952
Gardner Green Stevens,Liberal,85
Garfield Dunlop,CPC,2017
Garnet Bloomfield,Liberal,238
Garry Guzzo,CPC,668
Garth Turcott,NDP,213
Gary Bikman,CPC,317
Gary Burrill,NDP,12401
Gary Carr,Liberal,2014
Gary Fox,CPC,254
Gary Friedel,CPC,122
Gary Gurbin,CPC,355
Gary Hines,CPC,176
Gary Leadston,CPC,148
Gary Malkowski,NDP,992
Gary Mar,CPC,3057
Gary Masyk,CPC,206
Gary McCauley,Liberal,327
Gary Pillitteri,Liberal,770
Gary Ramey,NDP,219
Gary Severtson,CPC,184
Gary Stewart,CPC,337
Gary Vernon Lauk,NDP,240
Gary Wilson,NDP,839
Gaspard Pacaud,Liberal,41
Gaston Demers,CPC,187
Gavin Fleming,Liberal,255
Gay Caswell,CPC,269
Ged Baldwin,CPC,5983
Gene Zwozdesky,CPC,1273
Genia Leskiw,CPC,244
George William Ross,Liberal,1993
Geoff MacLellan,Liberal,2193
Geoff Wilson,CPC,286
Geoffrey Scott,CPC,1532
George A. Burridge,CPC,138
George A. Ross,Liberal,100
George Adam Clare,CPC,242
George Adam Elliott,CPC,101
George Airey Kirkpatrick,CPC,643
George Albert Kerr,CPC,449
George Albertus Cox,Liberal,695
George Alexander,CPC,108
George Alexander Drew,CPC,267
George Alexander Gillespie,Liberal,134
George Alexander McQuibban,Liberal,53
George Archibald,CPC,288
George Arthur Welsh,CPC,249
George Atwell Cooke,Liberal,91
George Augustus Dana,Liberal,43
George Baker,Liberal,1254
George Belcher Murray,Liberal,231
George Ben,Liberal,303
George Bukator,Liberal,215
George Byron Smith,Liberal,81
George Campbell,CPC,52
George Charles Hurdman,Liberal,90
George Chatterton,CPC,181
George Chow,NDP,2355
George Clarke,Liberal,161
George Cooper,CPC,721
George Crawford McKindsey,CPC,77
George Cruickshank,Liberal,190
George Dadamo,NDP,222
George Davidson Grant,Liberal,150
George Denison,CPC,220
George Dormer,CPC,66
George Doucet,Liberal,335
George Douglas Hawley,Liberal,113
George Douglas Stanley,CPC,207
George E. Nixon,Liberal,174
George Edward Langford,CPC,156
George Elliott Casey,Liberal,307
George Ernest Halpenny,CPC,97
George Ewan McCraney,Liberal,91
