name,party,page_views
Jim Bullbrook,Liberal,120
Donald Roy Irvine,CPC,90
Horace Racine,Liberal,165
Peter Masniuk,CPC,107
Russell Sutor,CPC,83
Alfred Hozack Cowling,CPC,78
George Gomme,CPC,229
Bill Kempling,CPC,419
Jean Roy,Liberal,268
Russell Whitson,Liberal,73
Jack Harris,CPC,100
Bill Warrender,CPC,75
Hilda Watson,CPC,781
John Eakins,Liberal,255
Harry Andrew Moore,CPC,116
Gerry Ottenheimer,CPC,567
John Edward Butler,CPC,150
Hugh Hanrahan,CPC,393
John James,Liberal,136
Donald Paterson,Liberal,131
Ian MacLachlan Arrol,CPC,157
Bill Domm,CPC,530
Harry Harapiak,NDP,261
John Gordon Lane,CPC,157
Sylvester Perry Ryan,CPC,163
Edward R. Good,Liberal,132
Henry Harold Peter Baker,NDP,451
J. Earl McEwen,CPC,165
Donald Ewen,CPC,105
Allister Johnston,CPC,192
Gordon Elsworth Smith,CPC,104
Fred Burr,NDP,134
John Gilbert,NDP,257
Jack McNie,CPC,138
Dave Rooney,Liberal,229
Charles McIlveen,CPC,181
Robert Orange,Liberal,230
Grant Campbell,CPC,123
Robert Edward William Myers,CPC,97
Larry Shaben,CPC,2493
Dante De Monte,Liberal,133
Helen Hunley,CPC,697
Harry Alger,CPC,201
John Baird Finlay,Liberal,755
Patrick Michael Hayes,NDP,295
Ivan Thrasher,CPC,122
Louis Hodgson,CPC,101
Harold MacKenzie,Liberal,71
Thomas Hamilton Bell,CPC,87
Hugh Munro,Liberal,44
Frank Patrick O'Connor,Liberal,1721
James Ramsey,CPC,1402
Albert Champagne,Liberal,95
John Gaetz,Liberal,658
William Henry Hammell,CPC,53
Hugh Cummings McKillop,CPC,84
James Alexander Sangster,Liberal,67
Harry Short,CPC,183
Lewis Wilkieson Johnstone,CPC,229
Harry Slater,CPC,154
James Brockett Tudhope,Liberal,654
David Henry McFadden,CPC,167
Jean Blanchet,CPC,202
John Henry Fisher,CPC,385
