Election Type,Election Date,Province / Territory,Constituency,First Name,Last Name,Political Party,Election Result
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Signal Hill,Keiran,Corrigall,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Signal Hill,Nicholas,Debrey,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Signal Hill,Shawn,Duncan,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Signal Hill,Patrick,King,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Signal Hill,Ron,Liepert,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Skyview,Leigh,Aquart,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Skyview,Daniel,Blanchard,Marxist-Leninist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Skyview,Harnirjodh,Chahal,Liberal Party of Canada,Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Skyview,Harinder singh (Harry),Dhillon,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Skyview,Gurinder Singh,Gill,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Skyview,Nadeem,Rana,Centrist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Skyview,Jag,Sahota,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Skyview,Janna,So,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Centre,Randy,Boissonnault,Liberal Party of Canada,Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Centre,Brock,Crocker,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Centre,James,Cumming,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Centre,Merryn,Edwards,Marxist-Leninist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Centre,Valerie,Keefe,Libertarian Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Centre,Heather,MacKenzie,New Democratic Party,Defeated
